work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,company_region
2020,SE,FT,Big Data Engineer,114047,PL,100,GB,S,Europe
2020,MI,FT,Lead Data Engineer,56000,PT,100,US,M,North America
2020,SE,FT,Data Scientist,68428,GR,100,US,L,North America
2020,MI,FT,Data Scientist,45760,PH,100,US,S,North America
2020,EN,FT,Data Engineer,54742,PK,100,DE,L,Europe
2020,SE,FL,Computer Vision Engineer,60000,RU,100,US,S,North America
2020,MI,FT,Data Engineer,130800,ES,100,US,M,North America
2020,MI,FT,Data Scientist,62726,FR,50,LU,S,Europe
2021,EX,FT,BI Data Analyst,150000,IN,100,US,L,North America
2021,MI,FT,Applied Data Scientist,54238,GB,50,CA,L,North America
2021,EX,FT,Director of Data Science,153667,IT,100,PL,L,Europe
2021,SE,FT,Data Analyst,80000,BG,100,US,S,North America
2021,SE,FT,Marketing Data Analyst,88654,GR,100,DK,L,Europe
2021,EN,PT,AI Scientist,12000,BR,100,US,S,North America
2021,MI,FT,Computer Vision Software Engineer,95746,DE,100,US,S,North America
2021,MI,FT,BI Data Analyst,36259,HU,50,US,L,North America
2021,EN,PT,AI Scientist,12000,PK,100,US,M,North America
2021,MI,FT,Big Data Engineer,60000,ES,50,RO,M,Europe
2021,MI,FT,Applied Machine Learning Scientist,38400,VN,100,US,M,North America
2021,SE,FT,Cloud Data Engineer,160000,BR,100,US,S,North America
2021,MI,FT,Data Scientist,119059,SG,100,IL,M,Middle East
2021,MI,FT,Data Scientist,5679,IN,100,US,S,North America
2021,MI,FT,Data Engineer,26005,RO,0,US,L,North America
2021,SE,FT,Data Analytics Engineer,50000,VN,100,GB,M,Europe
2021,EX,FT,Data Science Consultant,69741,FR,100,ES,S,Europe
2021,SE,FT,Data Engineer,76833,RO,50,GB,S,Europe
2021,SE,FT,Data Science Manager,152000,US,100,FR,L,Europe
2021,SE,FT,Data Science Manager,54094,IN,50,US,L,North America
2021,MI,FT,Data Scientist,61467,DE,50,AT,M,Europe
2021,SE,FT,Research Scientist,50000,FR,100,US,S,North America
2021,MI,FL,Data Engineer,20000,IT,0,US,L,North America
2021,MI,FT,Data Engineer,66022,HK,50,GB,S,Europe
2021,EN,FT,Big Data Engineer,5882,IN,0,CH,L,Europe
2021,SE,FT,Machine Learning Scientist,225000,US,100,CA,L,North America
2021,EN,FT,AI Scientist,18053,IN,100,AS,S,Oceania
2021,MI,FT,Data Scientist,25532,RS,100,DE,S,Europe
2021,SE,FT,Lead Data Engineer,160000,PR,50,US,S,North America
2021,EN,FT,Machine Learning Engineer,85000,NL,100,DE,S,Europe
2021,EN,FT,Research Scientist,100000,JE,0,CN,L,Asia
2022,MI,FT,Machine Learning Engineer,87932,FR,100,DE,M,Europe
2022,SE,FT,Data Science Engineer,60000,AR,100,MX,L,Latin America
2022,MI,FL,Data Scientist,100000,CA,100,US,M,North America
2022,EN,CT,Applied Machine Learning Scientist,31875,TN,100,CZ,M,Europe
2022,SE,FT,Head of Data,200000,MY,100,US,M,North America
2022,SE,FT,Data Scientist,100000,BR,100,US,M,North America
2022,EN,FT,Data Engineer,58035,PK,100,DE,M,Europe
2022,EN,FT,Data Scientist,40000,JP,100,MY,L,Asia
2022,MI,FT,Applied Machine Learning Scientist,75000,BO,100,US,L,North America
2022,MI,FT,Data Scientist,48000,RU,100,US,S,North America
2022,EN,FT,Computer Vision Engineer,10000,PT,100,LU,M,Europe
2022,MI,FT,AI Scientist,200000,IN,100,US,L,North America
